code,name,swatch,iscool
B66-014-259,Resene Neutral Bay,jpegs/Resene_Neutral_Bay.jpg,true
G74-033-095,Resene Neutral Green,jpegs/Resene_Neutral_Green.jpg,true
B45-048-275,Resene Night Moves,jpegs/Resene_Night_Moves.jpg,true
N34-002-275,Resene Nocturnal,jpegs/Resene_Nocturnal.jpg,true
Y72-019-083,Resene Nomad,jpegs/Resene_Nomad.jpg,true
WW16,Resene Nutmeg,jpegs/Resene_Nutmeg.jpg,true
BR48-056-043,Resene Nutmeg,jpegs/Resene_Nutmeg.jpg,true
O47-066-064,Resene Oak,jpegs/Resene_Oak.jpg,true
BR46-016-062,Resene Oilskin,jpegs/Resene_Oilskin.jpg,true
Y62-030-087,Resene Olive Haze,jpegs/Resene_Olive_Haze.jpg,true
O59-120-065,Resene Omega,jpegs/Resene_Omega.jpg,true
BR64-029-071,Resene Outback,jpegs/Resene_Outback.jpg,true
Y57-024-085,Resene Pablo,jpegs/Resene_Pablo.jpg,true
B55-011-232,Resene Pale Sky,jpegs/Resene_Pale_Sky.jpg,true
G50-020-119,Resene Panzano,jpegs/Resene_Panzano.jpg,true
Y86-022-086,Resene Parchment,jpegs/Resene_Parchment.jpg,true
Y77-038-083,Resene Pavlova,jpegs/Resene_Pavlova.jpg,true
G32-023-161,Resene Petanque,jpegs/Resene_Petanque.jpg,true
G70-014-150,Resene Pewter,jpegs/Resene_Pewter.jpg,true
BR53-023-065,Resene Pine Cone,jpegs/Resene_Pine_Cone.jpg,true
N90-003-098,Resene Porcelain,jpegs/Resene_Porcelain.jpg,true
B72-011-221,Resene Powder Blue,jpegs/Resene_Powder_Blue.jpg,true
BR72-016-053,Resene Pristine Lavender,jpegs/Resene_Pristine_Lavender.jpg,true
G80-011-123,Resene Pumice,jpegs/Resene_Pumice.jpg,true
B50-017-273,Resene Quadrant Grey,jpegs/Resene_Quadrant_Grey.jpg,true
Y58-027-086,Resene Quarry Stone,jpegs/Resene_Quarry_Stone.jpg,true
Y88-017-075,Resene Quarter Biscotti,jpegs/Resene_Quarter_Biscotti.jpg,true
Y82-040-079,Resene Quarter Canterbury Clay,jpegs/Resene_Quarter_Canterbury_Clay.jpg,true
N81-004-117,Resene Quarter Delta,jpegs/Resene_Quarter_Delta.jpg,true
Y82-025-071,Resene Quarter Doeskin,jpegs/Resene_Quarter_Doeskin.jpg,true
Y89-015-082,Resene Quarter Fossil,jpegs/Resene_Quarter_Fossil.jpg,true
N46-005-255,Resene Quarter Foundry,jpegs/Resene_Quarter_Foundry.jpg,true
BR79-013-079,Resene Quarter Heathered Grey,jpegs/Resene_Quarter_Heathered_Grey.jpg,true
G82-002-091,Resene Quarter Hillary,jpegs/Resene_Quarter_Hillary.jpg,true
